Station,Name,longitude,latitude,dS2S
1,CHBH10,431562.1486,3933469.078,0.038510833
2,CHBH11,423267.3414,3904798.167,-0.629073198
3,CHBH12,396277.267,3911479.575,-0.305645056
4,CHBH13,436890.4796,3965041.204,0.450437201
5,CHBH14,484291.8114,3954115.905,-0.756272498
6,CHBH15,389678.5356,3868808.02,-0.434162955
7,CHBH16,405990.7162,3888512.538,-0.892717993
8,CHBH17,440179.1909,3891882.496,-0.170333803
9,CHBH20,418221.5415,3882815.135,-2.287167431
10,GNMH05,337315.4278,4019978.61,-0.129662307
11,GNMH07,340416.6063,4062714.105,-0.093604024
12,GNMH08,278521.8522,4040986.318,-0.319708035
13,GNMH09,313102.0729,4054542.107,-1.121139699
14,GNMH10,296194.0345,4012121.308,-0.275411274
15,GNMH11,313571.7068,4017348.12,-0.416584687
16,GNMH12,312505.0208,4001587.961,0.341633582
17,GNMH13,327584.6596,4080965.847,0.583532461
18,GNMH14,349978.0977,4039591.959,0.214058432
19,IBRH07,439881.7667,3978486.053,-0.922979475
20,IBRH10,409264.7156,3996375.586,0.239068754
21,IBRH11,423155.0163,4024984.903,1.049339933
22,IBRH12,439498.1956,4076650.288,0.588684199
23,IBRH13,462385.8569,4071925.915,0.429258774
24,IBRH14,459958.9807,4060466.606,-0.224575244
25,IBRH15,437765.6912,4045567.475,1.127784064
26,IBRH16,446442.1053,4054816.301,0.780254535
27,IBRH17,438534.1182,3993392.293,1.333734032
28,IBRH18,466185.842,4023933.762,0.484265747
29,IBRH19,418435.1507,4007689.056,-0.520999279
30,IBRH20,476117.7529,3964593.115,-0.332259803
31,KNGH10,366007.3975,3929041.89,0.21236697
32,KNGH11,350810.3722,3918719.907,-0.864247642
33,KNGH18,330825.6239,3945672.462,0.31424286
34,KNGH19,322658.2478,3920707.696,-0.55978154
35,KNGH20,330024.8109,3914917.142,-0.20655051
36,KNGH21,338267.9903,3925461.39,-0.480138715
37,KNGH22,326836.5994,3914090.266,-0.606799303
38,SITH03,354472.2086,3973592.103,-0.575117561
39,SITH04,367941.4684,3962706.88,-0.627131169
40,SITH05,324893.1803,4002096.67,0.24151954
41,SITH06,346323.0773,3997498.851,1.035884361
42,SITH07,333215.9987,3975389.002,0.168750313
43,SITH08,317283.4307,3988545.761,0.014082048
44,SITH09,329111.7485,3993190.395,-0.507143652
45,SITH10,339758.5524,3984666.529,0.260012329
46,SITH11,344321.2976,3969848.506,0.564302395
47,TCGH06,406263.6361,4033560.419,0.070624871
48,TCGH07,362460.5398,4082517.006,0.526103655
49,TCGH08,379618.8984,4082378.949,0.015907029
50,TCGH09,396569.2908,4079903.611,-0.061062336
51,TCGH10,413153.6738,4079196.829,0.658708795
52,TCGH11,390429.3025,4062760.25,0.65968944
53,TCGH12,409549.2483,4061272.128,0.857013535
54,TCGH13,426907.7957,4065355.382,0.485161568
55,TCGH14,376360.9247,4045597.929,1.098490689
56,TCGH15,398596.6344,4046261.483,0.266883821
57,TCGH16,417512.5013,4044783.63,0.350913368
58,TCGH17,383901.0243,4093704.003,-0.50729552
59,TKYH12,343255.5424,3948385.276,-0.119727893
60,TKYH13,330866.5762,3952107.81,0.61498578